entity_id,entity_type,home_country,preferred_auth,preferred_protocol,preferred_resource,device_fingerprint,work_start,work_end
U001,Device,Germany,Biometric,FTP,SourceCode,06989a28-4e94-43d4-8baa-3ea0b671723b,10,18
U002,Service,Germany,Password,HTTP,Finance,f3fe5422-3dd5-4a67-b2ea-257ae40c6b3c,10,19
U003,Service,India,Token,SSH,Finance,d2358005-03fa-49f2-9d26-20a60a31ecff,8,20
U004,User,Germany,Certificate,HTTP,Email,6d69d375-ed86-421c-a7f9-85ec84995db4,9,17
U005,Device,India,Password,HTTPS,Finance,6329c8a1-e27d-4b6b-9475-6bb5c69159da,10,17
U006,Device,Japan,Biometric,FTP,Finance,ae0598de-4c7d-40b6-9f96-8740a35eeab9,8,18
U007,Device,USA,Password,SSH,Payroll,3a947ba5-b2c4-49b9-a405-93dac2e54652,10,20
U008,Service,USA,Certificate,HTTP,Email,da8e67f6-48ee-459b-98d9-b47a29642526,10,19
U009,Device,India,Certificate,SSH,Payroll,52d75f6e-aaeb-4fbc-829e-2520fcbe56b2,9,17
U010,Service,Germany,Biometric,HTTP,Email,43ac1c16-5612-4e02-8f1b-451aa70c86cf,8,19
U011,Service,Japan,Token,FTP,CloudServer,22deb614-b1f4-4a8f-a76c-fe6af46d3454,9,18
U012,Device,USA,Certificate,SSH,HR,039458df-35b5-438c-b881-4e74c98ecd3b,10,19
U013,User,Japan,Password,FTP,Database,1ae3ce34-fb7b-43a7-ac1d-16fc33fdbc43,9,18
U014,Service,Germany,Token,HTTP,CRM,c3a638a0-9976-428a-9194-c666d4340db9,10,18
U015,Service,Germany,Certificate,SSH,Database,697d4a90-54a9-4a7b-9dbc-d64811475832,8,20
U016,Device,Singapore,Certificate,SSH,CloudServer,7d8c38a4-1fc3-419c-b420-47a7eddc7049,9,19
U017,Service,USA,Certificate,HTTP,CloudServer,a03ab334-11ff-431f-9d59-c308f9189e7c,9,18
U018,User,Japan,Password,HTTPS,SourceCode,f8230fa9-9d91-4a4c-94fa-a3889523ae4e,9,18
U019,Service,India,Biometric,HTTPS,Payroll,13744ebc-50a7-4f30-8a9f-d49295d710ca,10,18
U020,Service,Japan,Token,HTTP,CRM,94d3bd72-9d8f-472d-b5e9-3c2a6a7a9ed2,9,20
U021,Service,USA,Password,HTTPS,Database,357fe8fa-1022-4c4f-806e-fac05361e0f5,8,19
U022,Device,Japan,Biometric,HTTP,Database,ff9c3e5d-bd0d-49ae-9e6d-8f3b923b075a,10,20
U023,User,Germany,Biometric,SSH,Database,c7a963e3-d07c-4f2d-8585-f2d0c959ff06,10,18
U024,Device,Germany,Token,HTTP,Database,0eb70e04-d914-4ecf-83b1-497e9d6e0219,9,19
U025,Device,Japan,Biometric,HTTPS,Email,1413b5ba-b559-48b4-b5fc-836e1c093de5,9,17
U026,Service,Japan,Biometric,HTTPS,HR,5b4fe478-b2b7-453f-9289-c23a8de8f3e4,8,18
U027,User,Singapore,Certificate,FTP,Finance,d64ec640-3380-47aa-a1ae-d11390412992,10,17
U028,User,USA,Biometric,SSH,HR,7353da7f-394b-43e5-a111-a961fd944fa6,9,17
U029,Service,USA,Token,SSH,Payroll,f95f35de-5aa2-41d2-90d4-bb5e8f86ad6b,8,20
U030,User,USA,Biometric,FTP,Payroll,ad8379e1-a402-44ba-8db5-120a59efd885,10,20
U031,User,India,Password,FTP,CloudServer,5d9802a6-a009-4920-8c78-1ede96d7d562,9,18
U032,User,Singapore,Password,FTP,SourceCode,2007e399-d6b1-42c1-98b1-92bca91c02de,10,17
U033,Device,USA,Certificate,HTTP,Database,76fb3140-5675-4be6-8244-415a30657250,9,19
U034,Service,Japan,Biometric,HTTPS,Email,2c08bc58-0d23-42f6-8443-5626ced53aac,10,17
U035,Service,Germany,Token,SSH,SourceCode,03e6dc62-e5b5-4478-a2e7-3fbc0903ce4b,10,18
U036,Service,USA,Certificate,SSH,Database,23e54aba-5419-4d5d-b20f-cae0c458c714,8,19
U037,User,Japan,Biometric,SSH,Database,ca9f2ec3-2e1d-4447-82f7-b6fc3c51bc4f,10,17
U038,Device,India,Certificate,HTTP,Finance,e82cc628-f599-4007-bb1f-7a60e3af2ee5,9,18
U039,User,Singapore,Password,SSH,HR,9fcdf7a4-30e2-4f3d-8118-22726c5076f2,8,19
U040,Device,Germany,Token,HTTPS,Database,dc376912-3749-4074-9cb6-834f0265394a,9,17
U041,Service,India,Biometric,FTP,Database,1c56c913-b57b-4d54-8d99-0434b25c7466,10,18
U042,Device,Singapore,Password,SSH,HR,b7d37c84-f3e6-47fa-8c6e-76d2c8cd97e7,9,17
U043,User,USA,Token,HTTPS,SourceCode,20365eba-48a1-458f-9a5e-114f7ab908de,9,17
U044,Service,Japan,Biometric,SSH,SourceCode,90dc8911-35f0-49ca-b3d1-ff8685733480,10,20
U045,Service,Japan,Biometric,HTTP,SourceCode,a807c91e-2977-4753-8820-1e2524f30b9d,8,17
U046,User,India,Password,FTP,Finance,1f0cf892-df39-416d-b165-48c4574c7e7b,10,18
U047,User,India,Token,HTTP,CRM,76ea6977-f849-41d0-a135-29bfd96eb05a,8,18
U048,Service,India,Biometric,SSH,Payroll,0be2f062-539e-48d4-bbeb-838407cc4b3a,8,18
U049,Device,Germany,Biometric,SSH,Finance,b0ffa757-06ce-4f39-8c0e-7031b3d83f65,10,20
U050,Service,Germany,Password,FTP,SourceCode,5f928996-9b68-43a1-8215-a6d2beef1a3b,9,20
U051,User,Germany,Token,HTTP,CloudServer,aabe8da9-affa-4d78-a9b4-4534c730acd1,10,17
U052,Service,Germany,Certificate,SSH,CRM,792db61d-7b11-4a64-8b98-d1cfb986a4b8,10,20
U053,User,Germany,Biometric,HTTPS,HR,288dfbfd-c415-4efe-894c-bfc00c062728,9,20
U054,Device,Japan,Certificate,HTTPS,CloudServer,2dc7cdc2-9518-495d-abf9-1f8ef0c8175f,9,17
U055,Device,Japan,Password,FTP,Payroll,46051719-9d7e-4df2-9e1c-0b55ba1bdd50,10,20
U056,Device,India,Token,SSH,Email,2ecc0c21-1183-487c-9373-cf3cd6160e29,8,20
U057,User,Germany,Certificate,HTTPS,CRM,10ce7003-9f67-4af8-a05d-5699a5d2dd19,9,17
U058,User,Japan,Password,FTP,Email,6546e0fb-f254-4f6a-ba3b-536f9e3d813c,10,19
U059,Device,Germany,Biometric,HTTPS,Database,e20a56ff-136b-4f71-97e9-5f08fed5f716,8,19
U060,User,Singapore,Token,SSH,HR,551d9a4e-c934-42c6-9f79-90a60c5c6172,9,18
U061,Device,India,Password,FTP,CRM,73182967-c364-47a7-8844-3c135f46e19e,10,17
U062,User,Singapore,Password,SSH,CloudServer,bbc74319-f272-4a71-ace7-52ec1109889f,9,19
U063,User,Singapore,Biometric,SSH,HR,8d8965ec-2d55-4f0f-ad12-b8423b61fc32,8,17
U064,User,USA,Password,HTTP,Payroll,c422c0e5-978c-4d89-988b-1b5f68cb92f3,8,19
U065,User,Singapore,Biometric,SSH,HR,f6adf92c-f5fd-4cb9-bc6b-495d48dfac3f,8,20
U066,Device,USA,Certificate,HTTP,Email,ba03a52f-4387-4fbb-9a17-21fe947b4cc1,9,18
U067,Device,India,Biometric,HTTPS,Payroll,88216aaa-c253-4ee1-9dc8-89565fcdefe7,8,19
U068,User,USA,Biometric,HTTPS,Email,ff1463d0-5a78-4f27-a961-003d45a6ce39,10,20
U069,User,Germany,Password,SSH,SourceCode,4ac8469b-0074-41b2-8234-b882d5287613,8,18
U070,User,Singapore,Biometric,HTTP,Database,f5652ff8-cc06-4b80-9227-5a21d52d5e9d,8,18
U071,User,India,Token,HTTP,SourceCode,61dccb05-ce20-4b19-8aec-f9e69237fe7e,10,18
U072,User,India,Certificate,SSH,CRM,c28a970f-058d-4721-99c7-343d1a5a1928,10,18
U073,Service,USA,Biometric,HTTP,HR,a79e9a8b-2c3f-408a-92b3-765f44e318b1,9,17
U074,Device,Singapore,Token,FTP,Payroll,554f0203-c5b9-4b82-a9be-9a803047e3e1,8,20
U075,Service,USA,Password,SSH,Email,9ef13839-4d0f-4f01-975d-d429f261a6e7,9,18
U076,Service,Singapore,Token,HTTPS,CRM,3a11801e-ac18-4b77-ac7d-0000bc5c93ae,10,19
