entity_id,most_common_country,most_common_auth,most_common_protocol,most_common_resource,most_common_device,avg_session_duration,std_session_duration,avg_login_hour
U001,Germany,Token,HTTP,Payroll,4af47d4d-31a8-44cf-875d-d0f8f95596c1,933.66,331.48,12.474747474747474
U002,Japan,Certificate,HTTP,Email,9623b5d2-46db-4436-a7c7-4b774fc216a3,872.44,302.59,14.125
U003,India,Biometric,HTTPS,HR,9e4b28ca-1ea2-4673-9361-8ae376da8f63,885.37,284.38,13.49074074074074
U004,USA,Certificate,HTTPS,Payroll,bb4bb4c3-1c4b-403b-b2b6-6556f6a50d31,901.43,271.41,13.7
U005,USA,Password,HTTP,Payroll,c6c1e0d6-70d9-4eb5-8a9a-5feeae76d227,942.76,272.8,14.141592920353983
U006,Germany,Certificate,SSH,Email,38897a13-4159-42ef-acd4-b1a595b9f868,876.58,334.19,13.24
U007,Germany,Biometric,FTP,SourceCode,f7f8f9f6-6a9e-470f-a49b-82f46f993f4b,866.34,319.6,11.926829268292684
U008,India,Biometric,FTP,HR,4fa219c3-8271-47f3-a248-01ce05dc96da,972.31,275.82,12.923076923076923
U009,Singapore,Certificate,HTTPS,Email,13eac3d1-ea06-400a-8f8c-925ffdbeaefb,931.78,268.68,12.867924528301886
U010,India,Certificate,HTTPS,CRM,8b1458ca-68f0-46c3-a802-31e01d2bf950,886.24,323.2,13.066666666666666
U011,Singapore,Certificate,HTTPS,Email,6154cd80-81e9-4a1c-9d8c-2d7821f53cb1,935.37,274.72,12.565217391304348
U012,Japan,Token,HTTPS,CRM,d857bbc0-17ab-4a8e-860d-ea8b023e3f72,887.78,285.42,13.402597402597403
U013,Singapore,Biometric,HTTPS,CRM,d0427d67-f006-4deb-a899-e9d87efef58b,893.04,297.03,13.071428571428571
U014,Germany,Biometric,SSH,SourceCode,9a66b32a-02f6-4d39-b010-2ccd9e214217,889.01,318.03,13.277227722772277
U015,Japan,Certificate,HTTPS,Payroll,bd16f6d9-884b-4aeb-b74f-27764529b3bf,891.55,316.67,13.140350877192983
U016,Singapore,Certificate,HTTP,CloudServer,579a4187-b6ce-4d89-b8f2-a92645e8d65e,895.0,298.98,12.247619047619047
U017,Singapore,Token,FTP,CloudServer,589c43af-19ad-4f6b-98aa-e48430969489,910.87,287.91,12.831460674157304
U018,Germany,Token,HTTPS,Finance,3af5e13a-a5f1-4518-a1e2-0ff24957fb2f,857.61,267.5,14.202127659574469
U019,Japan,Biometric,FTP,CRM,ba2a1e1f-9a36-44d4-96d6-0259cbe7a476,892.31,295.83,11.709302325581396
U020,Germany,Token,HTTP,HR,5062cc2e-25c9-4732-879a-aa7d61e28611,877.3,300.57,14.294642857142858
U021,Japan,Certificate,HTTPS,Email,5b8084de-e616-4457-9084-7a192b8fed67,887.11,308.34,13.370786516853933
U022,Japan,Biometric,HTTPS,HR,04b386af-02c0-4231-876e-105218ad5396,900.01,289.47,13.443181818181818
U023,Japan,Biometric,SSH,SourceCode,09a2731a-b5e4-46f4-9bfc-ef8af62a61e5,817.31,300.67,13.403225806451612
U024,Japan,Certificate,FTP,Database,610a9314-525a-4fda-8df9-459d2b793714,881.87,299.63,13.52808988764045
U025,USA,Certificate,HTTPS,Email,14726487-5b94-4c0d-9b65-ea8898af4364,902.27,315.7,13.581395348837209
U026,Germany,Token,HTTPS,Payroll,49f24c9e-0c87-4b16-953e-8b5eb1c7f396,840.0,266.97,12.821782178217822
U027,USA,Certificate,SSH,Database,8d796343-287b-43aa-a7f6-087977d4d3cf,916.2,300.11,13.309090909090909
U028,Japan,Password,HTTP,Finance,499dd4a1-aaa1-4fd8-9373-4189ae22665f,835.71,273.72,12.720430107526882
U029,Japan,Token,FTP,Database,ac134d2f-7fff-4928-a895-c2ecab0c2ac1,962.47,294.25,13.964705882352941
U030,India,Password,SSH,SourceCode,a9441a55-882d-446b-a354-7712cf95d84e,884.68,311.28,13.948453608247423
U031,Japan,Token,HTTPS,HR,ed8032cc-bc8f-4748-9333-88dfa2757c0b,934.38,318.27,12.828282828282829
